"Enroll, Female: Avg. ACT Math Score (Enrl F)","Enroll, Male: Avg. ACT Math Score (Enrl M)","Enroll, Female: Avg. SAT Math Score (Enrl F)","Enroll, Male: Avg. SAT Math Score (Enrl M)","Enroll, Female: Average HS GPA (Enrl F)","Enroll, Male: Average HS GPA (Enrl M)","Freshmen, Female: Cumulative GPA (Fshm F)","Freshmen, Male: Cumulative GPA (Fshm M)"
29.58,27.16,666.67,681.25,3.74,3.53,2.52,2.62
34,34,752,752,4.51,4.51,3.65,3.71
21,21.333,565,546.67,3.56,2.6767,2.541,2.084
19,17.333,380,520,3.27,3.065,1.704,1.996
23.167,20.231,496.67,455,3.6033,3.3525,2.688,2.306
21.57,22.71,510,541.25,3.77,3.77,3,2.55
26,27,640,635,3.61,3.73,2.95,2.86
28,27,618,636,3.66,3.56,2.92,2.77
23,27,615,608,3.61,3.47,3.08,2.63
24,27,551,580,3.41,3.38,2.78,2.72
24,27,581,613,3.48,3.43,2.48,2.72
26,25,555,596,3.2,3.41,2.79,2.56
23,22,550,554,3.94,3.68,3.19,2.65
23,22,507,560,3.94,3.53,3.39,2.71
32.5,34,680,760,3.53,3.19,2.86,3.28
30,29.5,620,766,3.71,3.32,3.68,3.19
31.6667,32.8333,800,753.333,3.69333,3.456,3.25,3.13
28,30.22,763.33,764,3.34,3.41,3.05,3.2
30.67,29.76,800,760.71,3.61,3.47,2.6,3.1
35,32.07,800,775,4,3.61,3.17,3.16
31.1667,32.9565,767.143,773.704,3.57,3.525,3.05,3.38
26.5,33,710,746.67,3.59,3.14,3.98,3.16
30,29.5,690,730,3.44667,3.425,2.19,2.49
32,32,697.5,760,3.77,3.59,3.16,3.05133
32,28,675,635,3.89,3.605,3.25967,3.0248
26,27,560,690,3.8,3.6,2.8,2.7
29,28,653,677,3.8,3.6,3,2.7
26,28,706,669,3.8,3.6,3.1,2.7
21.6,20,972.7,964.9,3.39,3.17,3.84,2.24
21,21.3,991.9,981.3,3.45,3.24,2.96,2.62
26.5,28.2,680,650,3.7,3.54,2.94,2.75
20,23,563,578,3.83,3.5,2.93,2
33,30,578,633,3.7,3.4,2.6,2.5
23,31,687,699,3.7,3.5,2.7,2.9
31,31,691,717,3.5,3.5,3,2.8
25.5,26.64,601.11,629.77,4.01,3.84,3.05,2.81
26.4,26.39,555.67,620.63,3.7,3.41,3.02,2.45
27,26.88,636.67,644.5,3.05,3.33,2.14,2.75
26.5,26.58,690,637.65,3.86,3.27,3.54,2.46
28.75,26.23,611.25,610.77,3.67,3.3,2.63,2.3
19.63,25.58,485.26,565.49,3.41,3.3,2.94,2.81
23,24.74,587.5,565,3.35,3.28,2.97,2.75
21.67,24.26,560.77,558.82,3.49,3.28,2.99,2.73
24.75,26.82,549.23,599.74,3.55,3.41,3.16,2.84
26.15,26.9,582.31,613.66,3.67,3.38,2.85,2.74
27.4,27.9,450,673,3.83,3.48,3.1,2.51
25,27.4,480,680,3.66,3.5,2.86,2.63
32,33,707,731,3.6,3.6,3.1,3
28,29,590,603,3.81,3.65,3.86,2.77
33.43,32.93,731.43,748.42,3.74,3.61,3.19,3.06
33.67,34.43,751.05,765.48,3.72,3.72,2.61,3.23
33.52,34.28,752.2,772.38,3.7,3.81,3.38,3.42
33.375,34.2364,765,780.588,3.847027,3.8291,3.27,3.5
20.4,20.7,994.1,983.7,3.47,3.23,3.45,3.07
20.7,20.4,961.6,992,3.42,3.24,3.1,3.01
25.83,26.02,554,631.11,3.7,3.28,3.04,2.47
26,25,530,574,3.52,3.54,2.41,2.53
25,25,572,576,3.96,3.53,2.84,2.48
26,25,562,581,4.01,3.72,2.09,2.75
25,24,557,566,3.91,3.67,2.31,2.69
22,25,575,616,3.83,3.91,2.42,2.66
26,29,641,648,3.59,3.4,1.93,1.56
26,28,638,666,3.67,3.46,1.64,1.66
25,28,640,648,3.65,3.52,1.7,1.82
31.3,28.8,690,664,3.96,3.66,3.09,2.98
28.9,30.6,678,697,3.9,3.77,2.53,2.61
29.6,29.9,682,666,3.66,3.74,2.44,3.14
29.4,30,667,669,3.97,3.83,3,3.03
27.6,30.3,634,688,3.79,3.79,3.7,3
29.2,30.1,652,653,3.85,3.89,3.11,2.87
20,26.5,520,589,3.62,3.24,3.68,2.36
25.6,25.5,634,612,3.54,3.18,2.74,2.7
24.9,25.6,609,598,3.61,3.28,2.99,2.38
23,33,520,595,3.9,3.5,2.8,2.7
25,26,610,593,3.77,3.6,3.56,2.83
24,28,582,606,3.54,3.53,2.71,2.69
27,27,620,592,3.83,3.59,3.15,2.92
26,26,575,613,3.68,3.45,2.97,2.75
26,25,568,607,3.59,3.47,2.84,2.64
27,25,588,580,3.59,3.34,2.85,2.73
31,30,763,706,3.7,3.5,3.5,2.7
28,25,637,628,3.9,3.85,2.98,2.75
28,29,639,645,3.74,3.83,3,3
29,29,617,628,4.02,3.86,3.5,4
29.8,30.6,663,693,3.91,3.88,3.25,3.58
29.5,31.2,662,680,3.91,3.85,3.05,3.29
29.5,29.9,667,668,3.91,3.82,3.12,3.46
29.3,30.4,670,684,3.94,3.83,3.81,3.07
30.9,30,669,677,3.96,3.81,3.3,3.03
23.5,25.35,534.71,578.66,3.52,3.34,3.04,2.93
23,27.61,541.25,591.32,3.39,3.45,2.53,2.59
23.8,25.38,572.31,574.84,3.69,3.37,2.85,2.69
23.75,26.74,558.75,593.72,3.71,3.43,3.06,2.84
24.79,25.61,569.38,591.34,3.61,3.51,3.01,2.73
29.3,31,657,704,3.88,3.87,3.25,3.22
29,29,601,655,4,3.8,3.3,3
28,28,659,645,4,3.7,3.2,2.9
27,28,640,636,3.9,3.8,3.2,2.5
21.6,20,972.7,964.9,3.39,3.17,2.72,2.74
21,21.3,991.9,981.3,3.45,3.24,2.75,2.88
20.4,20.7,994.1,983.7,3.47,3.23,2.99,2.96
20.7,20.4,961.6,992,3.42,3.24,2.96,2.86
25,26,663,605,3.6,3.6,2.5,2.7
24,27,530,623,3.4,3.6,2.7,2.7
28,27,600,678,3.7,3.7,2.7,2.7
26,26.53,660,629.23,3.76,3.29,2.9,2
33,25.93,620,621.67,3.98,3.17,1.68,2.15
26.5,27.71,560,638,3.71,3.38,1.09,2.31
22.67,24.73,470,531.11,3.21,3.35,3.01,2.65
23,24,530,543.77,3.54,3.27,2.08,2.64
24.5,24.35,551.43,551.27,3.73,3.31,2.55,2.64
22.8,25.44,542.86,590.39,3.56,3.4,3.09,2.94
18,26.6,455,610.65,3.37,3.39,2.86,2.76
25.7,28.1,630,700,3.65,3.58,2.77,2.73
26.7,26.6,640,520,3.69,3.49,3.03,2.61
30,27.8,700,640,3.97,3.44,3.29,2.4
26.3,28.4,700,680,3.61,3.53,2.5,2.73
25.4,27.8,475,720,3.69,3.62,2.99,2.84
32,31,705,728,3.6,3.5,2.8,2.9
27,27,630,595,3.4,3.6,3.2,2.8
29,27,675,678,3.8,3.7,2.8,2.8
25,27,700,667,3.7,3.7,3.4,2.9
21.6,20,972.7,964.9,3.39,3.17,3.73,2.95
21,21.3,991.9,981.3,3.45,3.24,3.14,2.89
28,30,685,685,3.5,3.5,3.1,2.4
22.857,23.3,500,488.24,3.0927,3.0881,2.6056,2.0045
23.857,22.563,430,470.83,3.525,3.1489,2.41,2.097
22.1,21.409,545,456.67,3.2975,3.4204,2.364,2.303
28,28.21,635,617.78,3.29,3.36,2.05,2.62
23,26.28,640,641.54,3.8,3.5,3.1,2.39
29.4,28.1,720,740,3.93,3.54,3.14,2.74
28.8,27.8,800,632,3.92,3.55,3.22,2.78
25.2,27.8,580,570,3.71,3.58,3.06,2.69
30,31,707,726,3.6,3.4,3.3,3
28,32,702,733,3.8,3.5,3.1,3.2
24,27,530,591,3.79,3.72,2.75,2.47
25,27,533,585,3.56,3.61,1.98,2.75
20,26,584,629,4.07,3.95,2.29,2.1
26,27,420,578,3.1875,3.36,1.7,2.59
20.4,20.7,994.1,983.7,3.47,3.23,2.87,2.98
20.7,20.4,961.6,992,3.42,3.24,3.3,2.96
25.5,27.08,665,622.8,3.48,3.48,3.3,2.65
22.3,25.7,529.2,601.4,3.92,3.75,2.64,2.55
26,28,672,658,3.8,3.6,3,2.8
27,28,603,645,3.7,3.7,3,2.9
27,28,640,647,3.8,3.7,2.9,2.9
30.1,30.1,653,678,3.89,3.73,3.45,3.29
29.9,31,682,687,3.96,3.81,3.57,2.86
29.3,30.2,637,671,3.72,3.76,3.13,3.03
29.8,30.7,626,673,3.86,3.76,3.22,2.94
29.2,29.6,635,670,3.75,3.72,2.73,3.15
28,31,691,711,3.8,3.5,3.2,2.7
30.2,30.4,642,692,3.92,3.61,2.28,2.94
33,32,693,733,3.6,3.5,3.3,2.9
