NCWIT Participant,Institution,Different,Same
"Extension Services, Academic Alliance",128,4,1
"Extension Services, Academic Alliance",128,2,7
"Extension Services, Academic Alliance",128,0,1
"Extension Services, Academic Alliance",128,0,4
"Extension Services, Academic Alliance",128,7,11
"Extension Services, Academic Alliance",128,0,8
"Extension Services, Academic Alliance",128,0,10
"Extension Services, Academic Alliance",128,0,15
"Extension Services, Academic Alliance",128,0,13
"Extension Services, Academic Alliance",430,4,27
"Extension Services, Academic Alliance",430,11,59
"Extension Services, Academic Alliance",430,7,25
"Extension Services, Academic Alliance",430,4,26
"Extension Services, Academic Alliance",430,9,21
"Extension Services, Academic Alliance",430,8,17
"Extension Services, Academic Alliance",430,5,8
"Extension Services, Academic Alliance",430,6,16
"Extension Services, Academic Alliance",430,6,14
"Extension Services, Academic Alliance",430,3,10
"Extension Services, Academic Alliance",430,5,12
"Extension Services, Academic Alliance",128,1,8
"Extension Services, Academic Alliance",110,7,13
"Extension Services, Academic Alliance",110,3,8
"Extension Services, Academic Alliance",110,3,12
"Extension Services, Academic Alliance",110,10,9
"Extension Services, Academic Alliance",110,7,18
"Extension Services, Academic Alliance",110,2,2
Academic Alliance,481,0,22
"Extension Services, Academic Alliance",110,0,4
"Extension Services, Academic Alliance",205,1,9
"Extension Services, Academic Alliance",205,2,5
"Extension Services, Academic Alliance",205,1,5
"Extension Services, Academic Alliance",205,0,8
"Extension Services, Academic Alliance",205,0,11
"Extension Services, Academic Alliance",205,1,14
"Extension Services, Academic Alliance",85,1,14
"Extension Services, Academic Alliance",85,4,11
"Extension Services, Academic Alliance",85,1,9
"Extension Services, Academic Alliance",85,1,11
"Extension Services, Academic Alliance",114,0,1
"Extension Services, Academic Alliance",361,1,2
"Extension Services, Academic Alliance",361,1,1
"Extension Services, Academic Alliance",361,3,2
"Extension Services, Academic Alliance",361,1,2
"Extension Services, Academic Alliance",85,0,10
"Extension Services, Academic Alliance",216,1,2
"Extension Services, Academic Alliance",238,0,0
"Extension Services, Academic Alliance",238,0,1
"Extension Services, Academic Alliance",238,0,1
"Extension Services, Academic Alliance",238,1,1
"Extension Services, Academic Alliance",216,1,6
"Extension Services, Academic Alliance",238,1,0
"Extension Services, Academic Alliance",238,1,2
"Extension Services, Academic Alliance",249,1,0
"Extension Services, Academic Alliance",249,0,6
"Extension Services, Academic Alliance",249,1,5
"Extension Services, Academic Alliance",249,0,2
"Extension Services, Academic Alliance",249,1,3
"Extension Services, Academic Alliance",216,0,0
"Extension Services, Academic Alliance",216,0,2
"Extension Services, Academic Alliance",216,2,1
"Extension Services, Academic Alliance",114,0,0
"Extension Services, Academic Alliance",114,1,0
"Extension Services, Academic Alliance",112,0,0
"Extension Services, Academic Alliance",157,0,1
"Extension Services, Academic Alliance",157,0,1
"Extension Services, Academic Alliance",157,0,1
"Extension Services, Academic Alliance",157,0,3
"Extension Services, Academic Alliance",157,0,6
"Extension Services, Academic Alliance",157,1,1
"Extension Services, Academic Alliance",157,0,4
