NCWIT Participant,Institution,Different,Same
"Extension Services, Academic Alliance",128,1,3
"Extension Services, Academic Alliance",128,1,0
"Extension Services, Academic Alliance",128,0,7
"Extension Services, Academic Alliance",128,0,3
"Extension Services, Academic Alliance",128,1,3
"Extension Services, Academic Alliance",128,0,13
"Extension Services, Academic Alliance",128,0,5
"Extension Services, Academic Alliance",128,0,4
"Extension Services, Academic Alliance",128,0,11
"Extension Services, Academic Alliance",430,12,73
"Extension Services, Academic Alliance",430,9,37
"Extension Services, Academic Alliance",430,8,29
"Extension Services, Academic Alliance",430,10,24
"Extension Services, Academic Alliance",430,7,19
"Extension Services, Academic Alliance",430,3,14
"Extension Services, Academic Alliance",430,4,14
"Extension Services, Academic Alliance",430,5,10
"Extension Services, Academic Alliance",430,1,7
"Extension Services, Academic Alliance",430,2,11
"Extension Services, Academic Alliance",430,10,21
"Extension Services, Academic Alliance",128,2,11
"Extension Services, Academic Alliance",110,4,9
"Extension Services, Academic Alliance",110,2,12
"Extension Services, Academic Alliance",110,8,14
"Extension Services, Academic Alliance",110,9,13
"Extension Services, Academic Alliance",110,5,23
"Extension Services, Academic Alliance",110,10,21
Academic Alliance,481,0,13
"Extension Services, Academic Alliance",110,2,16
"Extension Services, Academic Alliance",205,2,14
"Extension Services, Academic Alliance",205,0,16
"Extension Services, Academic Alliance",205,1,10
"Extension Services, Academic Alliance",205,1,6
"Extension Services, Academic Alliance",205,1,5
"Extension Services, Academic Alliance",205,3,5
"Extension Services, Academic Alliance",85,2,20
"Extension Services, Academic Alliance",85,1,21
"Extension Services, Academic Alliance",85,1,24
"Extension Services, Academic Alliance",85,2,16
"Extension Services, Academic Alliance",114,1,0
"Extension Services, Academic Alliance",361,2,1
"Extension Services, Academic Alliance",361,1,4
"Extension Services, Academic Alliance",361,1,7
"Extension Services, Academic Alliance",85,1,25
"Extension Services, Academic Alliance",216,3,1
"Extension Services, Academic Alliance",238,0,3
"Extension Services, Academic Alliance",238,0,3
"Extension Services, Academic Alliance",238,0,1
"Extension Services, Academic Alliance",216,0,1
"Extension Services, Academic Alliance",238,0,2
"Extension Services, Academic Alliance",238,0,1
"Extension Services, Academic Alliance",249,1,2
"Extension Services, Academic Alliance",249,3,4
"Extension Services, Academic Alliance",249,2,11
"Extension Services, Academic Alliance",249,1,7
"Extension Services, Academic Alliance",249,2,5
"Extension Services, Academic Alliance",216,1,1
"Extension Services, Academic Alliance",216,0,0
"Extension Services, Academic Alliance",216,1,1
"Extension Services, Academic Alliance",114,2,0
"Extension Services, Academic Alliance",114,0,0
"Extension Services, Academic Alliance",112,1,1
"Extension Services, Academic Alliance",200,1,10
"Extension Services, Academic Alliance",200,0,10
"Extension Services, Academic Alliance",200,0,20
"Extension Services, Academic Alliance",200,1,53
"Extension Services, Academic Alliance",200,0,51
"Extension Services, Academic Alliance",157,1,1
"Extension Services, Academic Alliance",157,0,3
"Extension Services, Academic Alliance",157,0,1
"Extension Services, Academic Alliance",157,0,3
"Extension Services, Academic Alliance",157,0,5
"Extension Services, Academic Alliance",157,0,2
"Extension Services, Academic Alliance",157,1,4
"Extension Services, Academic Alliance",157,3,5
"Extension Services, Academic Alliance",157,2,9
"Extension Services, Academic Alliance",157,2,10
"Extension Services, Academic Alliance",157,0,1
"Extension Services, Academic Alliance",157,0,1
"Extension Services, Academic Alliance",157,0,1
"Extension Services, Academic Alliance",157,0,1
"Extension Services, Academic Alliance",157,1,1
"Extension Services, Academic Alliance",157,0,1
"Extension Services, Academic Alliance",157,0,3
"Extension Services, Academic Alliance",112,0,2
"Extension Services, Academic Alliance",112,0,9
"Extension Services, Academic Alliance",112,2,10
"Extension Services, Academic Alliance",112,3,9
"Extension Services, Academic Alliance",216,3,1
"Extension Services, Academic Alliance",216,2,7
"Extension Services, Academic Alliance",216,2,3
"Extension Services, Academic Alliance",216,3,6
"Extension Services, Academic Alliance",216,2,10
"Extension Services, Academic Alliance",216,2,1
"Extension Services, Academic Alliance",216,0,0
"Extension Services, Academic Alliance",216,3,0
"Extension Services, Academic Alliance",216,1,1
"Extension Services, Academic Alliance",216,2,0
"Extension Services, Academic Alliance",424,1,3
"Extension Services, Academic Alliance",424,1,1
"Extension Services, Academic Alliance",200,1,1
"Extension Services, Academic Alliance",200,0,1
"Extension Services, Academic Alliance",200,0,12
"Extension Services, Academic Alliance",200,0,3
"Extension Services, Academic Alliance",200,0,3
"Extension Services, Academic Alliance",200,0,4
"Extension Services, Academic Alliance",200,1,2
"Extension Services, Academic Alliance",200,0,7
"Extension Services, Academic Alliance",200,1,8
"Extension Services, Academic Alliance",216,2,2
"Extension Services, Academic Alliance",216,2,4
"Extension Services, Academic Alliance",6,2,4
"Extension Services, Academic Alliance",6,0,3
"Extension Services, Academic Alliance",6,5,1
"Extension Services, Academic Alliance",13,0,4
"Extension Services, Academic Alliance",13,1,10
"Extension Services, Academic Alliance",13,0,4
"Extension Services, Academic Alliance",13,4,10
"Extension Services, Academic Alliance",13,0,0
"Extension Services, Academic Alliance",216,1,1
"Extension Services, Academic Alliance",216,1,0
"Extension Services, Academic Alliance",216,1,0
"Extension Services, Academic Alliance",216,0,3
"Extension Services, Academic Alliance",216,1,0
"Extension Services, Academic Alliance",54,1,8
"Extension Services, Academic Alliance",54,2,2
"Extension Services, Academic Alliance",54,3,9
"Extension Services, Academic Alliance",54,3,5
"Extension Services, Academic Alliance",54,1,8
"Extension Services, Academic Alliance",114,0,3
"Extension Services, Academic Alliance",114,0,0
"Extension Services, Academic Alliance",114,1,1
"Extension Services, Academic Alliance",114,0,0
"Extension Services, Academic Alliance",114,0,1
"Extension Services, Academic Alliance",114,0,1
"Extension Services, Academic Alliance",114,0,0
"Extension Services, Academic Alliance",487,3,2
"Extension Services, Academic Alliance",487,5,4
"Extension Services, Academic Alliance",487,3,2
"Extension Services, Academic Alliance",487,1,2
"Extension Services, Academic Alliance",487,3,6
"Extension Services, Academic Alliance",487,6,9
"Extension Services, Academic Alliance",29,2,7
"Extension Services, Academic Alliance",29,1,10
"Extension Services, Academic Alliance",29,1,8
"Extension Services, Academic Alliance",29,1,7
"Extension Services, Academic Alliance",13,5,9
"Extension Services, Academic Alliance",13,4,16
"Extension Services, Academic Alliance",13,7,7
"Extension Services, Academic Alliance",13,4,9
"Extension Services, Academic Alliance",13,0,0
"Extension Services, Academic Alliance",422,2,10
"Extension Services, Academic Alliance",422,3,15
"Extension Services, Academic Alliance",422,1,18
"Extension Services, Academic Alliance",422,0,17
"Extension Services, Academic Alliance",422,3,12
"Extension Services, Academic Alliance",422,2,19
"Extension Services, Academic Alliance",287,4,3
"Extension Services, Academic Alliance",287,1,1
"Extension Services, Academic Alliance",287,5,3
"Extension Services, Academic Alliance",287,1,4
"Extension Services, Academic Alliance",287,1,2
"Extension Services, Academic Alliance",287,1,3
"Extension Services, Academic Alliance",287,4,0
"Extension Services, Academic Alliance",287,1,3
"Extension Services, Academic Alliance",287,2,9
"Extension Services, Academic Alliance",287,0,0
"Extension Services, Academic Alliance",462,1,2
"Extension Services, Academic Alliance",462,1,1
"Extension Services, Academic Alliance",462,1,1
"Extension Services, Academic Alliance",131,1,6
"Extension Services, Academic Alliance",131,2,10
"Extension Services, Academic Alliance",131,3,8
"Extension Services, Academic Alliance",131,1,5
"Extension Services, Academic Alliance",361,3,6
"Extension Services, Academic Alliance",361,2,6
"Extension Services, Academic Alliance",361,2,5
"Extension Services, Academic Alliance",361,3,9
"Extension Services, Academic Alliance",493,6,22
"Extension Services, Academic Alliance",493,4,22
"Extension Services, Academic Alliance",493,11,52
"Extension Services, Academic Alliance",493,12,64
"Extension Services, Academic Alliance",493,8,53
"Extension Services, Academic Alliance",38,4,5
"Extension Services, Academic Alliance",38,7,11
"Extension Services, Academic Alliance",38,9,21
"Extension Services, Academic Alliance",422,0,31
"Extension Services, Academic Alliance",422,2,17
"Extension Services, Academic Alliance",83,5,9
"Extension Services, Academic Alliance",422,1,28
"Extension Services, Academic Alliance",422,3,39
"Extension Services, Academic Alliance",72,1,4
"Extension Services, Academic Alliance",469,2,10
"Extension Services, Academic Alliance",388,1,12
"Extension Services, Academic Alliance",487,4,11
"Extension Services, Academic Alliance",487,6,13
"Extension Services, Academic Alliance",487,8,17
"Extension Services, Academic Alliance",287,1,4
"Extension Services, Academic Alliance",287,0,5
"Extension Services, Academic Alliance",194,0,2
"Extension Services, Academic Alliance",194,3,1
"Extension Services, Academic Alliance",194,0,3
"Extension Services, Academic Alliance",500,0,0
"Extension Services, Academic Alliance",346,1,4
"Extension Services, Academic Alliance",346,1,8
"Extension Services, Academic Alliance",346,2,9
"Extension Services, Academic Alliance",346,1,15
"Extension Services, Academic Alliance",346,3,5
"Extension Services, Academic Alliance",346,0,1
"Extension Services, Academic Alliance",373,2,3
"Extension Services, Academic Alliance",46,1,0
"Extension Services, Academic Alliance",46,0,2
"Extension Services, Academic Alliance",46,0,2
"Extension Services, Academic Alliance",46,1,5
"Extension Services, Academic Alliance",46,0,0
"Extension Services, Academic Alliance",489,2,4
"Extension Services, Academic Alliance",489,2,0
"Extension Services, Academic Alliance",489,4,6
"Extension Services, Academic Alliance",489,0,1
"Extension Services, Academic Alliance",489,8,8
"Extension Services, Academic Alliance",238,0,4
"Extension Services, Academic Alliance",238,1,3
"Extension Services, Academic Alliance",238,1,5
"Extension Services, Academic Alliance",194,1,2
"Extension Services, Academic Alliance",194,0,3
"Extension Services, Academic Alliance",194,2,3
"Extension Services, Academic Alliance",469,1,18
"Extension Services, Academic Alliance",194,0,5
"Extension Services, Academic Alliance",324,6,5
"Extension Services, Academic Alliance",324,3,4
"Extension Services, Academic Alliance",324,2,4
"Extension Services, Academic Alliance",324,3,3
"Extension Services, Academic Alliance",500,0,5
"Extension Services, Academic Alliance",38,9,30
"Extension Services, Academic Alliance",324,3,5
"Extension Services, Academic Alliance",373,2,16
"Extension Services, Academic Alliance",346,0,1
"Extension Services, Academic Alliance",346,4,4
"Extension Services, Academic Alliance",324,0,8
"Extension Services, Academic Alliance",157,0,15
"Extension Services, Academic Alliance",157,4,20
"Extension Services, Academic Alliance",157,0,33
"Extension Services, Academic Alliance",157,1,45
"Extension Services, Academic Alliance",157,2,58
"Extension Services, Academic Alliance",287,1,10
"Extension Services, Academic Alliance",489,6,6
"Extension Services, Academic Alliance",216,5,4
"Extension Services, Academic Alliance",238,1,5
"Extension Services, Academic Alliance",238,2,1
"Extension Services, Academic Alliance",336,0,3
"Extension Services, Academic Alliance",336,0,2
"Extension Services, Academic Alliance",336,0,1
"Extension Services, Academic Alliance",46,0,1
"Extension Services, Academic Alliance",500,0,10
"Extension Services, Academic Alliance",249,1,2
"Extension Services, Academic Alliance",249,0,5
"Extension Services, Academic Alliance",249,3,6
"Extension Services, Academic Alliance",249,0,10
"Extension Services, Academic Alliance",249,0,11
"Extension Services, Academic Alliance",216,3,7
"Extension Services, Academic Alliance",216,6,7
"Extension Services, Academic Alliance",216,6,7
"Extension Services, Academic Alliance",216,9,8
"Extension Services, Academic Alliance",6,6,11
"Extension Services, Academic Alliance",6,2,23
"Extension Services, Academic Alliance",6,7,26
"Extension Services, Academic Alliance",182,2,8
"Extension Services, Academic Alliance",182,1,7
"Extension Services, Academic Alliance",182,0,7
"Extension Services, Academic Alliance",182,2,4
"Extension Services, Academic Alliance",182,3,10
"Extension Services, Academic Alliance",146,0,3
"Extension Services, Academic Alliance",146,0,4
"Extension Services, Academic Alliance",146,1,7
"Extension Services, Academic Alliance",146,1,2
"Extension Services, Academic Alliance",146,1,6
"Extension Services, Academic Alliance",475,1,5
"Extension Services, Academic Alliance",475,0,7
"Extension Services, Academic Alliance",475,0,2
"Extension Services, Academic Alliance",475,0,1
"Extension Services, Academic Alliance",475,0,0
"Extension Services, Academic Alliance",475,0,2
"Extension Services, Academic Alliance",146,3,8
"Extension Services, Academic Alliance",336,0,3
"Extension Services, Academic Alliance",424,1,1
"Extension Services, Academic Alliance",182,4,2
"Extension Services, Academic Alliance",182,5,8
"Extension Services, Academic Alliance",475,0,2
"Extension Services, Academic Alliance",475,0,4
"Extension Services, Academic Alliance",475,0,0
"Extension Services, Academic Alliance",475,0,0
"Extension Services, Academic Alliance",475,1,0
"Extension Services, Academic Alliance",475,0,2
"Extension Services, Academic Alliance",336,0,0
"Extension Services, Academic Alliance",336,0,0
"Extension Services, Academic Alliance",336,0,1
"Extension Services, Academic Alliance",336,0,1
"Extension Services, Academic Alliance",216,1,1
"Extension Services, Academic Alliance",216,1,0
"Extension Services, Academic Alliance",216,1,5
"Extension Services, Academic Alliance",216,1,2
"Extension Services, Academic Alliance",216,1,2
"Extension Services, Academic Alliance",216,1,1
"Extension Services, Academic Alliance",216,0,0
"Extension Services, Academic Alliance",216,2,2
"Extension Services, Academic Alliance",216,0,0
